Age.Group,Ethnicity,Gender,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
39,Maori,Total,5240,5380,5550,5860,6290,6630,6780,7290,7630,8080,8570,8750,8400,8150,8000,8170,8270,8450,8360,8720,8790,8520,8180
40,Maori,Total,5010,5240,5380,5550,5860,6300,6640,6800,7320,7660,8080,8530,8700,8320,8070,7910,8140,8210,8390,8300,8650,8730,8460
41,Maori,Total,4830,5000,5230,5380,5550,5870,6300,6640,6820,7340,7670,8060,8460,8620,8210,7950,7870,8080,8150,8320,8230,8580,8660
42,Maori,Total,4480,4830,5000,5230,5380,5550,5870,6300,6660,6830,7340,7650,8020,8380,8530,8070,7910,7800,8010,8080,8250,8160,8520
43,Maori,Total,4290,4470,4820,4990,5230,5380,5540,5870,6310,6670,6830,7330,7620,7960,8270,8410,8020,7830,7730,7950,8010,8180,8080
44,Maori,Total,4070,4280,4460,4810,4980,5220,5370,5540,5870,6310,6660,6810,7300,7570,7880,8150,8350,7950,7760,7660,7880,7940,8110
45,Maori,Total,3670,4060,4270,4450,4800,4970,5210,5370,5540,5870,6300,6640,6780,7250,7490,7780,8090,8280,7870,7690,7590,7810,7870
46,Maori,Total,3500,3650,4050,4260,4440,4780,4950,5200,5370,5540,5860,6270,6610,6740,7200,7410,7720,8010,8210,7800,7620,7520,7740
47,Maori,Total,3360,3490,3640,4040,4240,4420,4760,4940,5190,5360,5520,5840,6230,6560,6690,7110,7350,7650,7930,8140,7720,7550,7450
48,Maori,Total,3200,3340,3470,3620,4020,4220,4400,4740,4910,5170,5340,5500,5810,6160,6490,6610,7040,7280,7580,7870,8060,7640,7470
49,Maori,Total,3190,3180,3320,3450,3600,3990,4200,4380,4710,4890,5150,5310,5460,5760,6090,6410,6540,6960,7210,7510,7780,7980,7570
50,Maori,Total,3260,3160,3150,3290,3420,3570,3970,4160,4360,4690,4860,5100,5260,5400,5700,6010,6350,6470,6890,7130,7420,7690,7900
51,Maori,Total,3290,3230,3140,3130,3270,3400,3540,3940,4140,4330,4660,4830,5050,5220,5350,5620,5950,6270,6390,6820,7050,7340,7610
52,Maori,Total,2930,3260,3200,3110,3100,3240,3370,3520,3900,4110,4300,4630,4780,4990,5160,5280,5550,5870,6200,6320,6750,6970,7260
53,Maori,Total,2790,2900,3230,3170,3080,3060,3200,3340,3480,3860,4080,4270,4600,4730,4920,5090,5210,5470,5800,6110,6230,6670,6890
54,Maori,Total,2710,2760,2870,3200,3140,3040,3020,3160,3310,3450,3830,4060,4240,4570,4670,4830,5020,5140,5390,5720,6030,6150,6590
55,Maori,Total,2570,2670,2730,2830,3160,3100,3000,2980,3130,3270,3410,3810,4040,4210,4530,4610,4770,4940,5080,5320,5650,5950,6070
56,Maori,Total,2370,2530,2640,2690,2790,3110,3050,2960,2940,3080,3240,3390,3780,4010,4170,4480,4550,4690,4870,5010,5250,5580,5880
57,Maori,Total,2270,2330,2490,2600,2650,2740,3060,3010,2920,2900,3040,3200,3360,3760,3990,4120,4420,4480,4620,4800,4940,5170,5510
