Age.Group,Ethnicity,Gender,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
3,Maori,Female,6580,6810,7100,7110,7040,6930,6870,7130,7040,7190,7240,7060,7220,7260,6890,6770,6930,7080,7610,8670,8980,8770,8880
4,Maori,Female,6280,6580,6810,7100,7100,7040,6930,6870,7130,7040,7180,7180,7000,7190,7210,6750,6710,6870,7040,7580,8640,8950,8740
5,Maori,Female,5970,6280,6580,6810,7100,7100,7040,6930,6870,7130,7040,7130,7110,6950,7160,7140,6700,6660,6840,7010,7540,8600,8910
6,Maori,Female,5800,5970,6280,6580,6810,7100,7100,7040,6940,6880,7130,7020,7060,7030,6880,7120,7090,6650,6620,6810,6970,7500,8560
7,Maori,Female,5510,5800,5970,6280,6580,6810,7100,7110,7040,6940,6870,7100,7000,6990,6950,6810,7070,7040,6610,6590,6770,6930,7470
8,Maori,Female,5330,5510,5800,5970,6280,6580,6810,7100,7110,7050,6940,6850,7070,6970,6920,6860,6760,7010,7000,6570,6550,6720,6890
9,Maori,Female,5310,5330,5510,5800,5970,6280,6590,6820,7110,7110,7050,6930,6820,7030,6940,6840,6810,6700,6970,6960,6530,6500,6680
10,Maori,Female,5560,5310,5330,5510,5800,5970,6290,6590,6820,7110,7110,7040,6920,6790,6980,6900,6790,6760,6660,6930,6910,6480,6460
11,Maori,Female,5570,5560,5310,5330,5510,5800,5980,6290,6590,6830,7110,7090,7020,6910,6760,6920,6850,6730,6710,6610,6880,6860,6430
12,Maori,Female,5700,5570,5560,5310,5330,5510,5800,5980,6290,6600,6820,7100,7070,7000,6890,6720,6870,6790,6680,6660,6560,6820,6810
13,Maori,Female,5640,5690,5570,5560,5310,5330,5510,5810,5980,6300,6600,6820,7080,7050,6980,6870,6660,6800,6730,6630,6600,6500,6770
14,Maori,Female,5580,5640,5690,5570,5560,5310,5330,5510,5810,5980,6300,6620,6810,7050,7020,6930,6800,6590,6740,6680,6570,6540,6440
15,Maori,Female,5400,5580,5640,5690,5570,5560,5310,5330,5510,5810,6000,6360,6640,6790,7020,6970,6870,6730,6530,6690,6620,6510,6480
16,Maori,Female,5430,5400,5580,5640,5690,5560,5560,5300,5330,5510,5830,6110,6410,6640,6760,6960,6900,6790,6670,6470,6630,6550,6450
17,Maori,Female,5350,5420,5390,5560,5620,5670,5550,5540,5270,5300,5520,5970,6190,6390,6590,6650,6850,6800,6720,6600,6400,6550,6480
18,Maori,Female,5270,5330,5400,5360,5530,5580,5630,5490,5460,5200,5280,5630,6030,6160,6290,6420,6480,6720,6720,6640,6510,6310,6470
19,Maori,Female,5220,5230,5290,5350,5300,5460,5510,5540,5360,5330,5130,5330,5650,5970,6010,6070,6240,6340,6630,6630,6540,6410,6210
20,Maori,Female,5040,5170,5180,5230,5270,5210,5360,5380,5360,5170,5210,5080,5290,5550,5790,5770,5870,6090,6220,6520,6510,6410,6290
21,Maori,Female,4720,4980,5110,5100,5120,5150,5080,5190,5150,5110,4990,4990,4920,5130,5340,5530,5480,5670,5940,6090,6360,6350,6260
22,Maori,Female,4600,4660,4910,5020,4990,5000,5020,4910,4950,4880,4910,4670,4730,4730,4940,5120,5190,5230,5500,5790,5900,6170,6170
23,Maori,Female,4490,4550,4600,4840,4930,4890,4890,4880,4710,4740,4710,4590,4430,4570,4640,4880,4830,4960,5070,5350,5610,5720,6000
24,Maori,Female,4380,4460,4520,4560,4790,4870,4830,4810,4770,4590,4630,4470,4420,4370,4600,4750,4660,4640,4810,4930,5190,5450,5570
25,Maori,Female,4130,4370,4450,4500,4540,4770,4850,4800,4770,4720,4540,4510,4360,4410,4480,4780,4600,4500,4500,4690,4790,5040,5310
26,Maori,Female,4160,4120,4370,4440,4500,4540,4760,4840,4790,4770,4700,4450,4430,4320,4480,4650,4690,4480,4390,4400,4570,4670,4930
27,Maori,Female,4370,4160,4120,4370,4450,4510,4540,4770,4860,4810,4770,4650,4410,4420,4340,4590,4610,4620,4400,4320,4320,4490,4590
28,Maori,Female,4530,4370,4170,4140,4390,4470,4520,4570,4810,4910,4830,4750,4630,4410,4450,4390,4600,4580,4560,4350,4260,4260,4440
29,Maori,Female,4410,4530,4380,4180,4150,4410,4490,4550,4610,4860,4930,4830,4730,4610,4410,4470,4410,4580,4540,4530,4320,4230,4230
30,Maori,Female,4230,4410,4540,4390,4190,4170,4420,4510,4590,4660,4880,4940,4820,4690,4580,4390,4490,4400,4560,4520,4510,4290,4210
31,Maori,Female,3960,4240,4420,4550,4400,4210,4180,4450,4550,4630,4680,4880,4930,4790,4650,4520,4410,4480,4380,4540,4500,4480,4270
32,Maori,Female,3780,3960,4240,4430,4560,4420,4220,4210,4470,4580,4640,4680,4870,4920,4760,4580,4530,4390,4460,4360,4510,4470,4460
33,Maori,Female,3530,3780,3960,4250,4430,4570,4430,4240,4230,4500,4590,4630,4670,4840,4890,4710,4580,4520,4370,4430,4330,4490,4450
34,Maori,Female,3450,3530,3780,3970,4250,4440,4580,4440,4260,4260,4510,4580,4610,4660,4810,4840,4700,4560,4490,4340,4410,4310,4460
35,Maori,Female,3260,3450,3530,3790,3970,4260,4450,4590,4460,4280,4270,4480,4540,4580,4630,4760,4840,4680,4540,4470,4310,4380,4280
36,Maori,Female,3050,3260,3450,3540,3790,3980,4270,4460,4600,4480,4290,4250,4450,4510,4540,4600,4750,4810,4650,4510,4440,4280,4340
37,Maori,Female,2880,3050,3260,3450,3540,3800,3980,4280,4480,4630,4490,4280,4230,4410,4470,4480,4580,4720,4780,4620,4480,4400,4250
38,Maori,Female,2750,2880,3050,3260,3460,3540,3800,3990,4290,4500,4630,4460,4260,4210,4360,4420,4470,4550,4690,4750,4590,4450,4370
39,Maori,Female,2630,2750,2880,3060,3270,3460,3550,3810,4000,4310,4500,4610,4420,4240,4180,4300,4400,4440,4520,4670,4720,4560,4420
40,Maori,Female,2530,2630,2750,2880,3060,3270,3460,3560,3820,4010,4310,4480,4590,4370,4200,4140,4280,4370,4410,4490,4630,4690,4530
41,Maori,Female,2470,2530,2630,2750,2880,3060,3270,3460,3560,3820,4010,4290,4460,4550,4310,4150,4120,4250,4340,4390,4460,4600,4660
42,Maori,Female,2300,2460,2530,2630,2740,2880,3060,3270,3470,3570,3820,4010,4270,4430,4510,4240,4130,4090,4220,4310,4350,4420,4570
43,Maori,Female,2140,2290,2460,2520,2620,2740,2870,3060,3270,3470,3560,3820,4000,4240,4390,4450,4220,4090,4050,4190,4280,4320,4390
44,Maori,Female,2050,2140,2290,2460,2520,2620,2740,2870,3060,3270,3470,3550,3800,3980,4200,4340,4430,4190,4060,4020,4160,4250,4290
45,Maori,Female,1880,2050,2130,2280,2450,2510,2620,2740,2880,3060,3270,3450,3540,3780,3960,4150,4310,4390,4150,4030,3990,4120,4210
46,Maori,Female,1780,1870,2040,2130,2280,2440,2500,2610,2740,2880,3060,3250,3430,3520,3760,3940,4120,4280,4360,4120,3990,3960,4090
47,Maori,Female,1680,1770,1870,2030,2120,2270,2430,2500,2610,2740,2870,3050,3230,3410,3500,3720,3910,4080,4240,4330,4080,3960,3920
48,Maori,Female,1600,1670,1770,1860,2030,2110,2260,2420,2490,2600,2730,2860,3030,3210,3370,3470,3690,3870,4050,4210,4290,4040,3930
49,Maori,Female,1600,1590,1660,1760,1850,2020,2100,2250,2420,2480,2590,2710,2840,3010,3180,3330,3430,3650,3840,4020,4170,4250,4000
50,Maori,Female,1630,1590,1580,1650,1750,1840,2010,2090,2240,2410,2470,2570,2680,2820,2990,3140,3300,3400,3610,3800,3980,4130,4210
51,Maori,Female,1620,1620,1580,1570,1640,1730,1830,1990,2080,2230,2400,2470,2550,2660,2800,2960,3100,3270,3360,3580,3760,3940,4090
52,Maori,Female,1480,1610,1610,1570,1560,1630,1720,1820,1980,2070,2210,2390,2460,2520,2620,2760,2930,3070,3230,3330,3550,3720,3900
53,Maori,Female,1410,1470,1600,1600,1550,1550,1620,1710,1810,1970,2060,2190,2380,2440,2490,2590,2730,2890,3040,3190,3290,3510,3680
54,Maori,Female,1380,1390,1450,1580,1580,1540,1530,1600,1700,1800,1960,2050,2180,2390,2430,2460,2550,2700,2850,3000,3150,3250,3470
55,Maori,Female,1300,1370,1380,1440,1570,1570,1530,1510,1590,1690,1780,1960,2050,2170,2380,2410,2430,2520,2670,2820,2970,3120,3220
56,Maori,Female,1160,1290,1350,1360,1420,1540,1550,1510,1500,1570,1670,1760,1950,2030,2150,2370,2380,2390,2500,2640,2790,2940,3090
57,Maori,Female,1110,1140,1270,1330,1350,1400,1520,1530,1490,1480,1560,1650,1750,1950,2020,2120,2340,2350,2360,2470,2610,2760,2900
58,Maori,Female,1140,1100,1130,1260,1320,1330,1380,1500,1510,1470,1460,1540,1640,1720,1930,2000,2100,2310,2310,2330,2440,2580,2730
59,Maori,Female,1050,1120,1080,1110,1240,1300,1310,1360,1470,1490,1450,1440,1530,1610,1700,1920,1980,2070,2280,2290,2300,2410,2540
60,Maori,Female,1000,1040,1100,1060,1090,1210,1280,1290,1340,1450,1470,1430,1420,1510,1590,1670,1900,1950,2040,2260,2260,2280,2380
61,Maori,Female,920,980,1020,1080,1040,1070,1190,1260,1270,1310,1420,1450,1420,1410,1490,1570,1650,1870,1920,2010,2230,2220,2240
62,Maori,Female,810,900,960,1000,1060,1010,1050,1170,1230,1240,1290,1390,1430,1400,1380,1470,1550,1610,1830,1890,1990,2190,2190
63,Maori,Female,770,800,890,940,980,1040,990,1020,1140,1200,1210,1260,1360,1400,1370,1350,1440,1520,1580,1790,1860,1960,2150
64,Maori,Female,720,750,780,870,920,950,1010,960,1000,1120,1170,1190,1230,1320,1370,1340,1330,1410,1490,1550,1750,1820,1920
65,Maori,Female,700,710,730,760,840,890,920,980,940,980,1090,1150,1170,1200,1290,1350,1310,1300,1390,1470,1520,1710,1790
66,Maori,Female,600,680,690,710,730,810,860,880,950,920,960,1060,1130,1150,1180,1250,1320,1290,1270,1370,1440,1490,1680
67,Maori,Female,530,590,670,670,690,710,790,830,850,920,890,920,1030,1100,1130,1150,1230,1290,1260,1240,1330,1420,1450
68,Maori,Female,510,520,570,650,650,660,690,760,810,830,890,860,880,1000,1070,1110,1120,1200,1250,1220,1200,1290,1380
69,Maori,Female,460,490,500,550,630,620,630,660,740,780,790,860,830,830,970,1040,1080,1090,1160,1220,1190,1170,1250
70,Maori,Female,400,440,480,480,530,600,600,600,630,710,750,760,830,800,800,930,1010,1050,1070,1130,1180,1150,1130
71,Maori,Female,370,390,420,460,460,510,570,580,570,610,690,720,730,800,770,760,900,980,1010,1030,1090,1150,1110
72,Maori,Female,320,350,370,410,440,440,480,550,550,550,580,650,690,700,770,740,730,870,940,970,990,1060,1120
73,Maori,Female,300,310,340,360,390,420,420,450,530,530,520,550,630,660,670,740,710,700,840,910,940,950,1030
74,Maori,Female,290,290,290,320,340,370,400,400,430,510,500,500,530,600,630,640,710,670,670,810,880,900,910
75,Maori,Female,260,280,270,280,300,320,340,370,380,410,480,480,480,510,570,600,610,680,640,640,770,840,870
76,Maori,Female,230,250,260,260,260,290,300,330,350,360,390,460,450,460,490,550,570,590,660,620,610,740,810
77,Maori,Female,210,220,230,250,240,240,270,280,310,330,340,370,430,420,430,460,520,550,560,630,590,580,700
78,Maori,Female,170,200,210,220,230,230,230,240,260,290,310,320,350,400,390,410,440,500,520,530,590,560,550
79,Maori,Female,150,160,190,200,210,220,210,210,220,240,260,290,310,330,370,370,390,420,470,490,500,560,530
80,Maori,Female,120,150,150,180,180,190,200,200,190,210,230,240,270,290,310,350,350,370,400,440,460,470,530
81,Maori,Female,100,110,140,140,170,160,180,190,180,170,190,210,220,240,270,280,320,330,340,370,410,420,440
82,Maori,Female,90,90,100,130,130,150,150,160,170,160,160,180,190,200,210,250,260,290,300,310,340,380,400
83,Maori,Female,80,80,90,90,120,120,130,130,150,160,140,140,160,180,180,190,220,230,260,280,280,320,350
84,Maori,Female,50,70,80,80,80,100,110,120,120,130,140,130,130,150,160,150,170,210,220,240,260,260,290
85,Maori,Female,50,50,70,70,70,80,90,90,110,100,120,130,120,120,130,140,140,160,190,200,210,230,230
86,Maori,Female,40,40,40,60,60,60,70,80,80,90,90,100,110,100,100,110,120,120,140,170,180,190,200
87,Maori,Female,40,40,40,40,60,50,50,60,70,80,80,80,90,100,90,90,100,110,110,130,150,160,160
88,Maori,Female,30,40,30,30,40,50,40,50,50,60,60,70,70,80,80,80,80,80,100,90,110,130,140
89,Maori,Female,30,20,30,30,30,30,40,40,40,40,50,50,60,60,60,70,70,70,70,80,80,100,110
90+,Maori,Female,80,100,100,110,120,120,120,130,140,140,150,160,160,180,190,200,220,240,250,270,290,310,340
All ages,Maori,Female,238700,244900,250900,256700,262700,268400,274200,280000,285500,291000,296800,301700,306200,310500,314500,318400,322800,327500,332400,337700,342300,346600,350800
0,Non-Maori,Total,45990,44900,43910,43380,43070,42540,42260,42460,41050,41570,40630,40020,41030,42610,42740,43080,43560,45080,44660,45110,44230,43110,42810
1,Non-Maori,Total,44810,45870,44930,44180,43760,43490,42750,42290,42330,40900,41380,41060,40430,41110,42500,42760,43170,43610,45120,44730,44980,43940,43090
2,Non-Maori,Total,43760,44840,46030,45290,44660,44330,43830,42850,42160,42180,40710,41910,41810,41070,41590,43110,43060,43300,43770,45260,44640,44740,43940
3,Non-Maori,Total,43130,43780,44980,46370,45810,45290,44700,43970,42720,42030,42060,41270,42730,42450,41560,42120,43420,43220,43500,43950,45140,44440,44740
4,Non-Maori,Total,40910,43220,43930,45360,46920,46410,45700,44860,43890,42660,41960,42540,42050,43370,42960,42070,42390,43570,43440,43670,43880,44930,44340
5,Non-Maori,Total,41150,40990,43430,44300,45950,47580,46810,45840,44810,43810,42620,42540,43250,42710,43870,43520,42370,42590,43780,43620,43650,43680,44810
6,Non-Maori,Total,40910,41210,41160,43770,44850,46630,48050,46920,45780,44730,43730,43340,43320,43740,43130,44420,43770,42510,42710,43980,43620,43440,43570
7,Non-Maori,Total,40790,40960,41370,41490,44320,45490,47140,48240,46880,45700,44660,44450,44250,43850,44010,43640,44700,43870,42560,42840,43980,43420,43320
8,Non-Maori,Total,40410,40850,41150,41730,42040,44960,45960,47390,48260,46780,45650,45320,45370,44990,44190,44360,43910,44880,43990,42720,42830,43810,43350
9,Non-Maori,Total,40520,40490,41050,41520,42250,42680,45420,46170,47470,48250,46700,46330,46190,46120,45500,44650,44600,44060,44990,44160,42720,42620,43760
10,Non-Maori,Total,41240,40610,40710,41440,42040,42870,43280,45640,46180,47490,48270,47400,47250,46840,46610,46170,44960,44690,44170,45170,44140,42550,42590
11,Non-Maori,Total,40860,41370,40860,41130,41970,42670,43400,43650,45680,46180,47610,48950,48260,47910,47250,47230,46450,45080,44760,44330,45140,44000,42490
12,Non-Maori,Total,40150,40990,41630,41270,41710,42600,43140,43640,43850,45720,46250,48230,49700,48810,48330,47780,47480,46580,45180,44920,44320,45060,43930
13,Non-Maori,Total,39570,40310,41280,42070,41860,42350,42990,43350,43760,44040,45830,46800,48930,50210,49150,48840,48070,47630,46730,45360,44990,44230,45000
14,Non-Maori,Total,41970,39740,40640,41780,42680,42530,42820,43120,43440,43890,44310,46320,47530,49480,50550,49650,49140,48290,47840,47030,45480,44980,44220
15,Non-Maori,Total,42820,42210,40090,41180,42430,43430,43090,43030,43210,43670,44150,44910,47050,48160,49910,51090,50090,49440,48620,48330,47360,45710,45200
16,Non-Maori,Total,45030,43100,42600,40690,41920,43200,43960,43400,43340,43660,44130,44930,45810,47850,48830,50680,51750,50610,50050,49370,48910,47770,46190
17,Non-Maori,Total,47500,45210,43380,43050,41320,42590,43590,44060,43610,43940,44290,45150,46050,46570,48360,49560,51330,52290,51190,50790,49880,49230,48140
18,Non-Maori,Total,49210,47560,45370,43660,43490,41820,42830,43490,43980,43980,44930,45950,46640,46830,46870,48830,50040,51720,52800,51840,51250,50210,49700
19,Non-Maori,Total,51320,49200,47710,45660,44080,43900,42050,42760,43390,44130,44950,47070,47890,47580,47420,47590,49500,50680,52570,54010,52830,52020,51150
20,Non-Maori,Total,51780,51060,49150,47720,45920,44360,43960,41970,42650,43440,44580,46660,49030,48790,48200,48310,48350,50280,51800,54100,55370,53640,53040
21,Non-Maori,Total,50340,51080,50490,48660,47380,45720,43970,43360,41510,42250,43320,45580,48080,49600,48940,48640,48840,48790,51120,52970,55000,55680,54170
22,Non-Maori,Total,49060,49430,50220,49650,47860,46690,44930,42890,42180,40610,41560,44050,46470,48180,49220,48740,48780,48950,49320,52010,53410,54910,55900
23,Non-Maori,Total,47040,48350,48730,49530,48850,47110,45810,43710,41470,40810,39640,42270,44930,46380,47540,48630,48710,48800,49440,50110,52350,53420,55340
24,Non-Maori,Total,45890,46660,48010,48350,48970,48330,46350,44660,42420,40120,39540,40300,43180,44880,45710,46800,48670,48740,49410,50230,50490,52440,54110
25,Non-Maori,Total,45570,45740,46500,47910,48050,48730,47850,45460,43490,41220,39010,40060,41130,43270,44250,45030,46910,48750,49400,50260,50700,50740,53240
26,Non-Maori,Total,46460,45670,45850,46730,48030,48280,48730,47350,44670,42740,40450,39670,41000,41540,43030,43920,45250,47020,49360,50290,50580,51080,51690
27,Non-Maori,Total,48890,46730,46030,46310,47240,48690,48700,48480,46800,44260,42240,41250,40820,41750,41800,43120,44280,45560,47770,50250,50600,50990,52060
28,Non-Maori,Total,50510,49260,47230,46640,47140,48190,49450,48880,48350,46830,44280,43240,42680,41960,42420,42320,43630,44780,46430,48640,50740,51100,52030
29,Non-Maori,Total,51480,50910,49840,48050,47670,48390,49180,49860,49010,48630,47280,45610,44990,44090,43000,43220,43050,44270,45700,47260,49240,51350,52120
30,Non-Maori,Total,51460,51820,51420,50670,49210,49120,49530,49690,49940,49220,49030,48780,47560,46540,45290,44110,43950,43750,45190,46570,47900,49880,52380
31,Non-Maori,Total,50460,51740,52210,52100,51660,50440,50170,50020,49750,49930,49400,50270,50600,49060,47650,46360,44730,44490,44500,45850,47060,48400,50720
32,Non-Maori,Total,49900,50620,52020,52700,52930,52680,51220,50490,50020,49620,49860,50230,51660,51740,49940,48460,46750,45060,44920,44840,46030,47200,48910
33,Non-Maori,Total,48390,50050,50890,52480,53420,54010,53410,51500,50490,50000,49600,50630,51450,52660,52500,50740,48820,46990,45340,45160,44930,46010,47480
34,Non-Maori,Total,47720,48510,50310,51390,53190,54470,54760,53590,51450,50470,50090,50420,51930,52470,53460,53330,51110,49060,47270,45600,45220,44980,46260
35,Non-Maori,Total,47080,47830,48760,50800,52160,54220,55150,54970,53520,51430,50530,50880,51640,52920,53250,54330,53670,51310,49320,47530,45650,45210,45200
36,Non-Maori,Total,46090,47190,48090,49210,51450,53000,54790,55410,54990,53460,51480,51300,51880,52540,53650,54040,54680,53880,51550,49490,47530,45630,45380
37,Non-Maori,Total,45510,46190,47440,48490,49780,52140,53460,54990,55380,54870,53350,52250,52300,52630,53130,54400,54290,54830,54070,51730,49430,47450,45800
38,Non-Maori,Total,44290,45620,46430,47850,49080,50490,52600,53570,54950,55240,54740,54090,53280,53050,53100,53780,54650,54350,54990,54180,51660,49280,47570
39,Non-Maori,Total,44000,44420,45860,46880,48450,49800,50980,52670,53480,54820,55100,55470,55130,54010,53560,53630,53980,54700,54490,55080,54060,51550,49390
40,Non-Maori,Total,43800,44110,44660,46270,47500,49180,50240,51150,52560,53360,54720,55730,56450,55900,54490,54140,53820,54030,54800,54570,54960,53900,51640
41,Non-Maori,Total,44030,43900,44300,45010,46800,48140,49610,50370,51030,52400,53210,55260,56570,57180,56370,55080,54350,53870,54070,54850,54460,54780,53870
42,Non-Maori,Total,44340,44140,44070,44610,45480,47300,48420,49670,50220,50830,52230,53720,56000,57190,57620,56910,55230,54400,53860,54080,54730,54250,54750
43,Non-Maori,Total,44810,44420,44300,44380,45040,45940,47510,48440,49520,50040,50690,52630,54350,56540,57560,58120,56990,55200,54390,53850,53910,54500,54220
44,Non-Maori,Total,44650,44880,44550,44600,44800,45470,46200,47430,48270,49320,49880,51060,53190,54740,56850,57940,58210,56880,55160,54400,53660,53690,54390
45,Non-Maori,Total,39070,44690,44990,44840,44990,45190,45730,46150,47210,48040,49140,50290,51600,53550,54980,57150,57950,58070,56770,55120,54250,53400,53570
46,Non-Maori,Total,36640,39070,44750,45180,45100,45320,45390,45710,45930,46910,47780,49510,50820,51930,53760,55200,57120,57810,57930,56650,54890,53960,53240
47,Non-Maori,Total,34540,36590,39060,44850,45390,45310,45450,45340,45540,45600,46600,48020,49890,51130,52070,53910,55100,56940,57660,57780,56430,54580,53740
48,Non-Maori,Total,32600,34510,36570,39150,45040,45590,45370,45360,45180,45300,45330,46750,48320,50170,51270,52200,53790,54870,56790,57490,57500,56070,54340
49,Non-Maori,Total,35070,32540,34470,36610,39230,45170,45630,45250,45170,44930,45040,45460,46980,48520,50300,51440,52060,53580,54700,56640,57200,57110,55800
50,Non-Maori,Total,34800,35010,32500,34500,36640,39290,45220,45530,45010,44900,44660,45080,45650,47100,48570,50360,51260,51820,53370,54550,56370,56830,56870
51,Non-Maori,Total,32190,34710,34930,32460,34490,36640,39320,45140,45290,44740,44610,44660,45210,45760,47140,48550,50180,51010,51610,53220,54240,56000,56550
52,Non-Maori,Total,29990,32110,34620,34830,32400,34450,36580,39210,44960,45030,44430,44600,44730,45220,45770,47100,48330,49910,50770,51470,52920,53870,55730
53,Non-Maori,Total,28700,29910,32040,34530,34750,32350,34440,36510,39090,44770,44770,44350,44620,44700,45160,45760,46890,48080,49730,50660,51210,52610,53630
54,Non-Maori,Total,27810,28620,29790,31920,34410,34650,32280,34410,36390,38910,44580,44720,44330,44560,44620,45100,45540,46690,47900,49600,50420,50950,52390
55,Non-Maori,Total,26810,27720,28480,29670,31820,34320,34600,32150,34300,36210,38770,44530,44680,44240,44480,44540,44910,45350,46540,47770,49360,50190,50760
56,Non-Maori,Total,26150,26660,27600,28360,29530,31710,34270,34520,31980,34160,36090,38750,44510,44610,44150,44410,44380,44690,45190,46420,47590,49150,50030
57,Non-Maori,Total,26210,25980,26520,27450,28210,29400,31660,34200,34400,31810,34050,36060,38760,44470,44520,44040,44220,44170,44500,45100,46240,47430,48990
58,Non-Maori,Total,26390,26030,25810,26360,27320,28090,29340,31620,34130,34260,31680,33990,36050,38740,44390,44410,43860,44000,43980,44400,44940,46080,47300
59,Non-Maori,Total,26880,26200,25840,25660,26210,27140,27990,29300,31530,33990,34120,31620,33950,36000,38680,44280,44250,43650,43810,43840,44270,44800,45950
60,Non-Maori,Total,28110,26660,26010,25640,25460,26010,27010,27960,29220,31410,33860,34050,31550,33890,35940,38590,44100,44080,43460,43680,43710,44130,44710
61,Non-Maori,Total,27880,27870,26450,25790,25440,25250,25910,26940,27890,29090,31330,33760,34010,31470,33820,35890,38420,43900,43910,43330,43550,43570,44030
62,Non-Maori,Total,27570,27580,27580,26220,25560,25210,25160,25840,26840,27790,28960,31230,33670,33900,31370,33730,35720,38240,43710,43740,43160,43420,43460
63,Non-Maori,Total,27450,27240,27240,27290,25930,25300,25040,25090,25750,26740,27700,28830,31110,33540,33770,31290,33550,35540,38070,43570,43540,43000,43320
64,Non-Maori,Total,27130,27050,26910,26910,26940,25600,25060,24860,24990,25640,26620,27550,28700,30970,33420,33700,31120,33400,35400,37940,43420,43410,42900
65,Non-Maori,Total,26660,26660,26630,26500,26470,26550,25300,24840,24650,24840,25510,26440,27370,28550,30820,33290,33500,30960,33230,35240,37800,43270,43240
66,Non-Maori,Total,26160,26150,26180,26170,26060,26040,26170,24980,24570,24390,24690,25280,26240,27170,28350,30660,33030,33250,30750,33040,35030,37570,43030
67,Non-Maori,Total,25000,25670,25660,25690,25690,25600,25620,25790,24660,24270,24150,24430,25040,25990,26970,28150,30400,32740,33020,30510,32790,34730,37330
68,Non-Maori,Total,24370,24460,25140,25150,25190,25180,25110,25180,25430,24270,23950,23870,24110,24710,25750,26740,27860,30080,32440,32720,30250,32500,34500
69,Non-Maori,Total,24110,23810,23860,24620,24640,24640,24680,24560,24720,24980,23920,23580,23530,23780,24450,25500,26440,27560,29750,32120,32390,29930,32190
70,Non-Maori,Total,23230,23500,23160,23290,24010,24020,24050,24150,24030,24260,24540,23540,23190,23180,23450,24150,25150,26110,27220,29410,31730,31990,29580
71,Non-Maori,Total,21860,22550,22860,22560,22700,23370,23400,23450,23570,23470,23780,24040,23070,22740,22810,23110,23790,24780,25760,26900,29000,31310,31580
72,Non-Maori,Total,18400,21200,21890,22200,21880,22070,22750,22760,22830,22980,22910,23250,23540,22590,22300,22410,22710,23400,24390,25380,26500,28550,30880
73,Non-Maori,Total,18070,17790,20510,21200,21490,21170,21410,22090,22130,22200,22390,22300,22710,22990,22110,21820,21940,22280,22980,23970,24960,26070,28120
74,Non-Maori,Total,18100,17390,17140,19770,20460,20750,20460,20770,21390,21450,21530,21780,21710,22120,22420,21600,21330,21450,21800,22510,23530,24500,25610
75,Non-Maori,Total,17080,17410,16670,16440,19000,19650,19980,19730,20060,20700,20740,20860,21130,21100,21500,21830,21080,20810,20930,21280,22020,23030,24000
76,Non-Maori,Total,16410,16330,16640,15950,15750,18200,18880,19180,18940,19340,20010,20020,20180,20440,20470,20890,21230,20510,20290,20430,20770,21490,22500
77,Non-Maori,Total,15580,15640,15520,15880,15210,14990,17430,18160,18380,18140,18620,19260,19290,19450,19720,19800,20230,20580,19910,19710,19860,20180,20920
78,Non-Maori,Total,14390,14750,14810,14720,15090,14440,14270,16680,17350,17570,17340,17800,18440,18500,18730,18990,19100,19530,19880,19310,19070,19250,19550
79,Non-Maori,Total,12990,13550,13890,13970,13900,14260,13670,13540,15820,16500,16700,16510,17000,17630,17680,17920,18190,18370,18760,19190,18630,18420,18610
80,Non-Maori,Total,11490,12130,12640,12970,13100,13040,13390,12840,12770,14950,15640,15800,15640,16160,16750,16860,17110,17350,17570,17970,18430,17870,17690
81,Non-Maori,Total,10460,10650,11260,11790,12080,12240,12180,12490,12030,12010,14070,14730,14870,14770,15280,15870,16030,16270,16500,16750,17150,17580,17100
82,Non-Maori,Total,9510,9620,9820,10430,10880,11180,11350,11340,11600,11170,11230,13140,13770,13900,13840,14380,14980,15140,15390,15620,15870,16290,16740
83,Non-Maori,Total,8170,8660,8750,9000,9580,9970,10280,10480,10480,10700,10330,10400,12220,12770,12940,12900,13510,13990,14200,14440,14680,14980,15400
84,Non-Maori,Total,7010,7350,7830,7930,8170,8720,9040,9380,9650,9640,9860,9440,9570,11210,11760,11970,11980,12540,13010,13220,13460,13660,14040
85,Non-Maori,Total,6140,6280,6570,7020,7120,7320,7850,8150,8520,8770,8760,8920,8560,8670,10230,10750,10990,11030,11560,12000,12180,12450,12610
86,Non-Maori,Total,5100,5440,5590,5780,6220,6320,6520,7050,7280,7640,7900,7850,8010,7680,7780,9250,9790,9960,10060,10580,11020,11140,11410
87,Non-Maori,Total,4270,4420,4740,4890,5060,5450,5580,5760,6250,6460,6780,6980,6970,7120,6850,6940,8280,8750,8960,9080,9560,9950,10100
88,Non-Maori,Total,3500,3690,3820,4110,4220,4400,4740,4870,5020,5470,5640,5870,6080,6130,6230,6070,6140,7340,7820,8010,8090,8520,8880
89,Non-Maori,Total,2860,2980,3160,3290,3530,3600,3740,4060,4220,4320,4710,4870,5030,5220,5300,5400,5280,5370,6420,6860,7050,7070,7470
90+,Non-Maori,Total,8900,9400,9840,10510,10910,11460,12000,12650,13390,14240,14910,15660,16450,17150,17890,18590,19250,19910,20500,21970,23330,24780,26180
All ages,Non-Maori,Total,3027400,3051900,3080300,3116400,3158500,3204900,3242100,3263800,3274400,3286200,3301300,3356300,3424700,3478100,3518400,3562800,3597600,3628300,3665000,3706300,3734000,3753600,3784600
